,札幌市,仙台市,さいたま市,千葉市,横浜市,川崎市,相模原市,新潟市,静岡市,浜松市,名古屋市,京都市,大阪市,堺市,神戸市,岡山市,広島市,北九州市,福岡市,熊本市
0,中央区,青葉区,西区,中央区,鶴見区,川崎区,市緑区,北区,葵区,中区,千種区,北区,都島区,堺区,東灘区,北区,中区,門司区,東区,中央区
1,北区,宮城野区,北区,花見川区,神奈川区,幸区,中央区,東区,駿河区,東区,東区,上京区,福島区,中区,灘区,中区,東区,若松区,博多区,東区
2,東区,若林区,大宮区,稲毛区,西区,中原区,南区,中央区,清水区,西区,北区,左京区,此花区,東区,兵庫区,東区,南区,戸畑区,中央区,西区
3,白石区,太白区,見沼区,若葉区,中区,高津区,,江南区,,南区,西区,中京区,西区,西区,長田区,南区,西区,小倉北区,南区,南区
4,豊平区,泉区,中央区,緑区,南区,多摩区,,秋葉区,,北区,中村区,東山区,港区,南区,須磨区,,安佐南区,小倉南区,西区,北区
5,南区,,桜区,美浜区,保土ケ谷区,宮前区,,南区,,浜北区,中区,下京区,大正区,北区,垂水区,,安佐北区,八幡東区,城南区,
6,西区,,浦和区,,磯子区,麻生区,,西区,,天竜区,昭和区,南区,天王寺区,美原区,北区,,安芸区,八幡西区,早良区,
7,厚別区,,南区,,金沢区,,,西蒲区,,,瑞穂区,右京区,浪速区,,中央区,,広島市佐伯区,,,
8,手稲区,,緑区,,港北区,,,,,,熱田区,伏見区,西淀川区,,西区,,,,,
9,清田区,,岩槻区,,戸塚区,,,,,,中川区,山科区,東淀川区,,,,,,,
10,,,,,港南区,,,,,,港区,西京区,東成区,,,,,,,
11,,,,,旭区,,,,,,南区,,生野区,,,,,,,
12,,,,,緑区,,,,,,守山区,,旭区,,,,,,,
13,,,,,瀬谷区,,,,,,緑区,,城東区,,,,,,,
14,,,,,栄区,,,,,,名東区,,阿倍野区,,,,,,,
15,,,,,泉区,,,,,,天白区,,住吉区,,,,,,,
16,,,,,青葉区,,,,,,,,東住吉区,,,,,,,
17,,,,,都筑区,,,,,,,,西成区,,,,,,,
18,,,,,,,,,,,,,淀川区,,,,,,,
19,,,,,,,,,,,,,鶴見区,,,,,,,
20,,,,,,,,,,,,,住之江区,,,,,,,
21,,,,,,,,,,,,,平野区,,,,,,,
22,,,,,,,,,,,,,北区,,,,,,,
23,,,,,,,,,,,,,中央区,,,,,,,
24,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,
