,北海道,"青森県","岩手県","宮城県","秋田県","山形県","福島県","茨城県","栃木県","群馬県","埼玉県","千葉県","東京都","神奈川県","新潟県","富山県","石川県","福井県","山梨県","長野県","岐阜県","静岡県",愛知県,"三重県","滋賀県","京都府","大阪府","兵庫県","奈良県","和歌山県","鳥取県","島根県","岡山県","広島県","山口県","徳島県","香川県","愛媛県","高知県","福岡県","佐賀県","長崎県","熊本県","大分県","宮崎県","鹿児島県","沖縄県"
0,札幌市,"青森市","盛岡市","仙台市","秋田市","山形市","福島市","水戸市","宇都宮市","前橋市","さいたま市","千葉市","千代田区","横浜市","新潟市","富山市","金沢市","福井市","甲府市","長野市","岐阜市","静岡市",名古屋市,"津市","大津市","京都市","大阪市","神戸市","奈良市","和歌山市","鳥取市","松江市","岡山市","広島市","下関市","徳島市","高松市","松山市","高知市","北九州市","佐賀市","長崎市","熊本市","大分市","宮崎市","鹿児島市","那覇市"
1,函館市,"弘前市","宮古市","石巻市","能代市","米沢市","会津若松市","日立市","足利市","高崎市","川越市","銚子市","中央区","川崎市","長岡市","高岡市","七尾市","敦賀市","富士吉田市","松本市","大垣市","浜松市",豊橋市,"四日市市","彦根市","福知山市","堺市","姫路市","大和高田市","海南市","米子市","浜田市","倉敷市","呉市","宇部市","鳴門市","丸亀市","今治市","室戸市","福岡市","唐津市","佐世保市","八代市","別府市","都城市","鹿屋市","宜野湾市"
2,小樽市,"八戸市","大船渡市","塩竈市","横手市","鶴岡市","郡山市","土浦市","栃木市","桐生市","熊谷市","市川市","港区","相模原市","三条市","魚津市","小松市","小浜市","都留市","上田市","高山市","沼津市",岡崎市,"伊勢市","長浜市","舞鶴市","岸和田市","尼崎市","大和郡山市","橋本市","倉吉市","出雲市","津山市","竹原市","山口市","小松島市","坂出市","宇和島市","安芸市","大牟田市","鳥栖市","島原市","人吉市","中津市","延岡市","枕崎市","石垣市"
3,旭川市,"黒石市","花巻市","気仙沼市","大館市","酒田市","いわき市","古河市","佐野市","伊勢崎市","川口市","船橋市","新宿区","横須賀市","柏崎市","氷見市","輪島市","大野市","山梨市","岡谷市","多治見市","熱海市",一宮市,"松阪市","近江八幡市","綾部市","豊中市","明石市","天理市","有田市","境港市","益田市","玉野市","三原市","萩市","阿南市","善通寺市","八幡浜市","南国市","久留米市","多久市","諫早市","荒尾市","日田市","日南市","阿久根市","浦添市"
4,室蘭市,"五所川原市","北上市","白石市","男鹿市","新庄市","白河市","石岡市","鹿沼市","太田市","行田市","館山市","文京区","平塚市","新発田市","滑川市","珠洲市","勝山市","大月市","飯田市","関市","三島市",瀬戸市,"桑名市","草津市","宇治市","池田市","西宮市","橿原市","御坊市","岩美町","大田市","笠岡市","尾道市","防府市","吉野川市","観音寺市","新居浜市","土佐市","直方市","伊万里市","大村市","水俣市","佐伯市","小林市","出水市","名護市"
5,釧路市,"十和田市","久慈市","名取市","湯沢市","寒河江市","須賀川市","結城市","日光市","沼田市","秩父市","木更津市","台東区","鎌倉市","小千谷市","黒部市","加賀市","鯖江市","韮崎市","諏訪市","中津川市","富士宮市",半田市,"鈴鹿市","守山市","宮津市","吹田市","洲本市","桜井市","田辺市","若桜町","安来市","井原市","福山市","下松市","阿波市","さぬき市","西条市","須崎市","飯塚市","武雄市","平戸市","玉名市","臼杵市","日向市","指宿市","糸満市"
6,帯広市,"三沢市","遠野市","角田市","鹿角市","上山市","喜多方市","龍ケ崎市","小山市","館林市","所沢市","松戸市","墨田区","藤沢市","加茂市","砺波市","羽咋市","あわら市","南アルプス市","須坂市","美濃市","伊東市",春日井市,"名張市","栗東市","亀岡市","泉大津市","芦屋市","五條市","新宮市","智頭町","江津市","総社市","府中市","岩国市","美馬市","東かがわ市","大洲市","宿毛市","田川市","鹿島市","松浦市","山鹿市","津久見市","串間市","西之表市","沖縄市"
7,北見市,"むつ市","一関市","多賀城市","由利本荘市","村山市","相馬市","下妻市","真岡市","渋川市","飯能市","野田市","江東区","小田原市","十日町市","小矢部市","かほく市","越前市","北杜市","小諸市","瑞浪市","島田市",豊川市,"尾鷲市","甲賀市","城陽市","高槻市","伊丹市","御所市","紀の川市","八頭町","雲南市","高梁市","三次市","光市","三好市","三豊市","伊予市","土佐清水市","柳川市","小城市","対馬市","菊池市","竹田市","西都市","垂水市","豊見城市"
8,夕張市,"つがる市","陸前高田市","岩沼市","潟上市","長井市","二本松市","常総市","大田原市","藤岡市","加須市","茂原市","品川区","茅ヶ崎市","見附市","南砺市","白山市","坂井市","甲斐市","伊那市","羽島市","富士市",津島市,"亀山市","野洲市","向日市","貝塚市","相生市","生駒市","岩出市","三朝町","奥出雲町","新見市","庄原市","長門市","勝浦町","土庄町","四国中央市","四万十市","八女市","嬉野市","壱岐市","宇土市","豊後高田市","えびの市","薩摩川内市","うるま市"
9,岩見沢市,"平川市","釜石市","登米市","大仙市","天童市","田村市","常陸太田市","矢板市","富岡市","本庄市","成田市","目黒区","逗子市","村上市","射水市","能美市","永平寺町","笛吹市","駒ヶ根市","恵那市","磐田市",碧南市,"鳥羽市","湖南市","長岡京市","守口市","豊岡市","香芝市","紀美野町","湯梨浜町","飯南町","備前市","大竹市","柳井市","上勝町","小豆島町","西予市","香南市","筑後市","神埼市","五島市","上天草市","杵築市","三股町","日置市","宮古島市"
