札幌市中央区,"['', '', '', '', '', '', '', '', '旭ケ丘', '旭ケ丘', '旭ケ丘', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通西', '大通東', '大通東', '大通東', '大通東', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条西', '北一条東', '北一条東', '北一条東', '北一条東', '北一条東', '北一条東', '北一条東', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条西', '北二条東', '北二条東', '北二条東', '北二条東', '北二条東', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条西', '北三条東', '北三条東', '北三条東', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条西', '北四条東', '北四条東', '北四条東', '北四条東', '北四条東', '北四条東', '北四条東', '北四条東', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条西', '北五条東', '北六条西', '北六条西', '北六条西', '北六条西', '北六条西', '北六条西', '北六条西', '北六条西', '北六条西', '北六条西', '北六条西', '北六条西', '北六条西', '北六条西', '北六条西', '北六条西', '北六条西', '北六条西', '北六条西', '北七条西', '北七条西', '北八条西', '北九条西', '北九条西', '北十条西', '北十一条西', '北十一条西', '北十一条西', '北十一条西', '北十二条西', '北十二条西', '北十二条西', '北十三条西', '北十四条西', '北十五条西', '北十六条西', '北十七条西', '北十八条西', '北二十条西', '北二十一条西', '北二十二条西', '界川', '中島公園', '中島公園', '盤渓', '伏見', '伏見', '双子山', '円山西町', '円山西町', '円山西町', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条西', '南一条東', '南一条東', '南一条東', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条西', '南二条東', '南二条東', '南三条西', '南三条西', '南三条西', '南三条西', '南三条西', '南三条西', '南三条西', '南三条西', '南三条西', '南三条西', '南三条西', '南三条西', '南三条西', '南三条西', '南三条西', '南三条西', '南三条西', '南三条西', '南三条西', '南三条西', '南三条西', '南三条西', '南三条西', '南三条西', '南三条西', '南三条西', '南三条西', '南三条西', '南三条東', '南四条西', '南四条西', '南四条西', '南四条西', '南四条西', '南四条西', '南四条西', '南四条西', '南四条東', '南五条西', '南五条西', '南五条西', '南五条東', '南六条西', '南六条西', '南六条西', '南六条東', '南七条西', '南七条西', '南七条西', '南七条西', '南七条東', '南八条西', '南八条西', '南八条西', '南九条西', '南九条西', '南九条西', '南九条西', '南九条西', '南九条西', '南九条西', '南十条西', '南十条西', '南十条西', '南十条西', '南十条西', '南十条西', '南十一条西', '南十一条西', '南十二条西', '南十二条西', '南十二条西', '南十三条西', '南十三条西', '南十三条西', '南十四条西', '南十四条西', '南十四条西', '南十四条西', '南十四条西', '南十五条西', '南十六条西', '南十七条西', '南十八条西', '南十八条西', '南十九条西', '南二十条西', '南二十条西', '南二十一条西', '南二十二条西', '南二十二条西', '南二十二条西', '南二十二条西', '南二十二条西', '南二十三条西', '南二十四条西', '南二十五条西', '南二十六条西', '南二十六条西', '南二十七条西', '南二十七条西', '南二十八条西', '南二十九条西', '南三十条西', '南三十条西', '南三十条西', '宮ケ丘', '宮ケ丘', '宮の森', '宮の森一条', '宮の森二条', '宮の森二条', '宮の森二条', '宮の森三条', '宮の森三条', '宮の森三条', '宮の森四条', '宮の森四条', '宮の森四条', '宮の森四条']"
札幌市北区,"['', 'あいの里一条', 'あいの里二条', 'あいの里三条', 'あいの里四条', 'あいの里五条', 'あいの里五条', 'あいの里五条', 'あいの里五条', '麻生町', '北六条西', '北七条西', '北七条西', '北七条西', '北七条西', '北七条西', '北七条西', '北七条西', '北七条西', '北八条西', '北八条西', '北八条西', '北八条西', '北八条西', '北八条西', '北九条西', '北九条西', '北十条西', '北十条西', '北十条西', '北十条西', '北十条西', '北十条西', '北十条西', '北十条西', '北十条西', '北十条西', '北十条西', '北十条西', '北十一条西', '北十一条西', '北十一条西', '北十一条西', '北十一条西', '北十一条西', '北十一条西', '北十一条西', '北十一条西', '北十一条西', '北十一条西', '北十二条西', '北十二条西', '北十二条西', '北十二条西', '北十二条西', '北十二条西', '北十二条西', '北十二条西', '北十二条西', '北十二条西', '北十二条西', '北十二条西', '北十三条西', '北十三条西', '北十三条西', '北十三条西', '北十三条西', '北十三条西', '北十三条西', '北十三条西', '北十三条西', '北十三条西', '北十三条西', '北十三条西', '北十三条西', '北十三条西', '北十四条西', '北十四条西', '北十四条西', '北十四条西', '北十四条西', '北十四条西', '北十四条西', '北十四条西', '北十四条西', '北十四条西', '北十四条西', '北十四条西', '北十四条西', '北十四条西', '北十五条西', '北十五条西', '北十五条西', '北十五条西', '北十五条西', '北十五条西', '北十五条西', '北十五条西', '北十五条西', '北十五条西', '北十五条西', '北十五条西', '北十五条西', '北十五条西', '北十五条西', '北十六条西', '北十六条西', '北十六条西', '北十六条西', '北十六条西', '北十六条西', '北十六条西', '北十六条西', '北十六条西', '北十六条西', '北十六条西', '北十六条西', '北十六条西', '北十七条西', '北十七条西', '北十七条西', '北十七条西', '北十七条西', '北十七条西', '北十七条西', '北十七条西', '北十七条西', '北十七条西', '北十七条西', '北十七条西', '北十七条西', '北十八条西', '北十八条西', '北十八条西', '北十八条西', '北十八条西', '北十八条西', '北十八条西', '北十八条西', '北十八条西', '北十八条西', '北十八条西', '北十八条西', '北十八条西', '北十九条西', '北十九条西', '北十九条西', '北十九条西', '北十九条西', '北十九条西', '北十九条西', '北十九条西', '北十九条西', '北十九条西', '北十九条西', '北十九条西', '北二十条西', '北二十条西', '北二十条西', '北二十条西', '北二十条西', '北二十条西', '北二十条西', '北二十条西', '北二十条西', '北二十条西', '北二十条西', '北二十条西', '北二十一条西', '北二十二条西', '北二十二条西', '北二十三条西', '北二十四条西', '北二十四条西', '北二十五条西', '北二十六条西', '北二十七条西', '北二十八条西', '北二十九条西', '北二十九条西', '北三十条西', '北三十一条西', '北三十二条西', '北三十三条西', '北三十四条西', '北三十五条西', '北三十六条西', '北三十七条西', '北三十八条西', '北三十九条西', '北四十条西', '篠路一条', '篠路二条', '篠路三条', '篠路四条', '篠路五条', '篠路六条', '篠路七条', '篠路八条', '篠路九条', '篠路十条', '篠路町上篠路', '篠路町篠路', '篠路町太平', '篠路町拓北', '篠路町福移', '新川', '新川一条', '新川二条', '新川三条', '新川四条', '新川五条', '新川六条', '新川七条', '新川八条', '新川西一条', '新川西二条', '新川西三条', '新川西四条', '新川西五条', '新琴似一条', '新琴似二条', '新琴似三条', '新琴似四条', '新琴似五条', '新琴似六条', '新琴似七条', '新琴似八条', '新琴似九条', '新琴似十条', '新琴似十一条', '新琴似十二条', '新琴似町', '新琴似町', '太平一条', '太平二条', '太平三条', '太平四条', '太平五条', '太平六条', '太平七条', '太平八条', '太平九条', '太平十条', '太平十一条', '太平十二条', '拓北一条', '拓北二条', '拓北三条', '拓北四条', '拓北五条', '拓北六条', '拓北七条', '拓北八条', '屯田一条', '屯田二条', '屯田三条', '屯田四条', '屯田五条', '屯田六条', '屯田七条', '屯田八条', '屯田九条', '屯田九条', '屯田十条', '屯田十一条', '屯田町', '西茨戸', '西茨戸一条', '西茨戸二条', '西茨戸三条', '西茨戸四条', '西茨戸五条', '西茨戸六条', '西茨戸七条', '東茨戸', '東茨戸一条', '東茨戸二条', '東茨戸三条', '東茨戸四条', '南あいの里', '百合が原', '百合が原公園']"
札幌市東区,"['', '', '丘珠町', '丘珠町', '北四条東', '北四条東', '北四条東', '北四条東', '北四条東', '北四条東', '北四条東', '北四条東', '北五条東', '北五条東', '北五条東', '北五条東', '北五条東', '北五条東', '北五条東', '北五条東', '北五条東', '北五条東', '北五条東', '北五条東', '北五条東', '北五条東', '北六条東', '北六条東', '北六条東', '北六条東', '北六条東', '北六条東', '北六条東', '北六条東', '北六条東', '北六条東', '北六条東', '北六条東', '北六条東', '北六条東', '北六条東', '北六条東', '北六条東', '北六条東', '北六条東', '北六条東', '北六条東', '北六条東', '北六条東', '北七条東', '北七条東', '北七条東', '北七条東', '北七条東', '北七条東', '北七条東', '北七条東', '北七条東', '北七条東', '北七条東', '北七条東', '北七条東', '北七条東', '北七条東', '北七条東', '北七条東', '北七条東', '北七条東', '北七条東', '北七条東', '北七条東', '北七条東', '北七条東', '北八条東', '北八条東', '北八条東', '北八条東', '北八条東', '北八条東', '北八条東', '北八条東', '北八条東', '北八条東', '北八条東', '北八条東', '北八条東', '北八条東', '北八条東', '北八条東', '北八条東', '北八条東', '北八条東', '北九条東', '北九条東', '北九条東', '北九条東', '北九条東', '北九条東', '北九条東', '北九条東', '北九条東', '北九条東', '北九条東', '北九条東', '北九条東', '北九条東', '北九条東', '北九条東', '北九条東', '北十条東', '北十一条東', '北十一条東', '北十二条東', '北十二条東', '北十三条東', '北十三条東', '北十三条東', '北十四条東', '北十五条東', '北十五条東', '北十五条東', '北十六条東', '北十六条東', '北十六条東', '北十七条東', '北十七条東', '北十七条東', '北十八条東', '北十八条東', '北十九条東', '北十九条東', '北二十条東', '北二十一条東', '北二十二条東', '北二十二条東', '北二十三条東', '北二十四条東', '北二十五条東', '北二十五条東', '北二十六条東', '北二十六条東', '北二十七条東', '北二十八条東', '北三十条東', '北三十一条東', '北三十二条東', '北三十三条東', '北三十四条東', '北三十五条東', '北三十六条東', '北三十六条東', '北三十七条東', '北三十八条東', '北三十九条東', '北四十条東', '北四十一条東', '北四十二条東', '北四十三条東', '北四十四条東', '北四十五条東', '北四十六条東', '北四十七条東', '北四十八条東', '北四十九条東', '北五十条東', '北五十一条東', '北丘珠一条', '北丘珠二条', '北丘珠三条', '北丘珠四条', '北丘珠五条', '北丘珠六条', '栄町', '苗穂町', '苗穂町', '苗穂町', '中沼一条', '中沼二条', '中沼三条', '中沼四条', '中沼五条', '中沼六条', '中沼町', '中沼西一条', '中沼西二条', '中沼西三条', '中沼西四条', '中沼西五条', '東雁来一条', '東雁来二条', '東雁来三条', '東雁来四条', '東雁来五条', '東雁来六条', '東雁来七条', '東雁来八条', '東雁来九条', '東雁来十条', '東雁来十一条', '東雁来十二条', '東雁来十三条', '東雁来十四条', '東雁来町', '東苗穂一条', '東苗穂二条', '東苗穂二条', '東苗穂二条', '東苗穂三条', '東苗穂三条', '東苗穂四条', '東苗穂五条', '東苗穂五条', '東苗穂六条', '東苗穂七条', '東苗穂八条', '東苗穂九条', '東苗穂十条', '東苗穂十条', '東苗穂十一条', '東苗穂十二条', '東苗穂十三条', '東苗穂十四条', '東苗穂十五条', '東苗穂町', '東苗穂町', '伏古一条', '伏古二条', '伏古三条', '伏古四条', '伏古五条', '伏古六条', '伏古七条', '伏古八条', '伏古八条', '伏古九条', '伏古十条', '伏古十一条', '伏古十二条', '伏古十三条', '伏古十四条', '本町一条', '本町二条', 'モエレ沼公園']"
札幌市白石区,"['', '川北', '川北一条', '川北二条', '川北三条', '川北四条', '川北五条', '川下', '川下一条', '川下二条', '川下三条', '川下四条', '川下五条', '菊水一条', '菊水一条', '菊水二条', '菊水二条', '菊水三条', '菊水三条', '菊水三条', '菊水三条', '菊水四条', '菊水四条', '菊水五条', '菊水六条', '菊水六条', '菊水七条', '菊水八条', '菊水九条', '菊水九条', '菊水上町一条', '菊水上町二条', '菊水上町三条', '菊水上町四条', '菊水元町一条', '菊水元町二条', '菊水元町三条', '菊水元町四条', '菊水元町五条', '菊水元町六条', '菊水元町七条', '菊水元町八条', '菊水元町九条', '菊水元町十条', '北郷', '北郷一条', '北郷二条', '北郷三条', '北郷四条', '北郷五条', '北郷六条', '北郷七条', '北郷八条', '北郷九条', '北郷十条', '栄通', '中央一条', '中央二条', '中央二条', '中央二条', '中央二条', '中央二条', '中央三条', '南郷通', '南郷通', '南郷通', '南郷通', '東札幌一条', '東札幌一条', '東札幌二条', '東札幌二条', '東札幌三条', '東札幌三条', '東札幌三条', '東札幌三条', '東札幌四条', '東札幌五条', '東札幌六条', '東米里', '平和通', '平和通', '平和通', '本郷通', '本郷通', '本通', '本通', '本通', '本通', '本通', '本通', '本通', '米里一条', '米里二条', '米里三条', '米里四条', '米里五条', '流通センター', '流通センター', '流通センター', '流通センター', '流通センター', '流通センター', '流通センター', '流通センター']"
札幌市豊平区,"['', '', '旭町', '旭町', '旭町', '旭町', '水車町', '水車町', '月寒中央通', '月寒西一条', '月寒西二条', '月寒西三条', '月寒西四条', '月寒西五条', '月寒東一条', '月寒東一条', '月寒東一条', '月寒東一条', '月寒東一条', '月寒東一条', '月寒東一条', '月寒東一条', '月寒東二条', '月寒東二条', '月寒東二条', '月寒東二条', '月寒東三条', '月寒東四条', '月寒東五条', '豊平一条', '豊平二条', '豊平三条', '豊平四条', '豊平五条', '豊平五条', '豊平六条', '豊平六条', '豊平六条', '豊平六条', '豊平六条', '豊平七条', '豊平八条', '豊平九条', '中の島一条', '中の島一条', '中の島二条', '西岡', '西岡一条', '西岡二条', '西岡三条', '西岡三条', '西岡四条', '西岡五条', '羊ケ丘', '羊ケ丘', '羊ケ丘', '羊ケ丘', '羊ケ丘', '平岸一条', '平岸一条', '平岸一条', '平岸二条', '平岸二条', '平岸三条', '平岸三条', '平岸三条', '平岸四条', '平岸四条', '平岸五条', '平岸五条', '平岸六条', '平岸六条', '平岸六条', '平岸七条', '平岸八条', '福住一条', '福住一条', '福住一条', '福住二条', '福住三条', '福住三条', '美園一条', '美園二条', '美園三条', '美園三条', '美園四条', '美園五条', '美園六条', '美園七条', '美園八条', '美園九条', '美園十条', '美園十一条', '美園十二条']"
札幌市南区,"['', '石山', '石山一条', '石山二条', '石山三条', '石山四条', '石山東', '川沿一条', '川沿二条', '川沿二条', '川沿三条', '川沿四条', '川沿五条', '川沿六条', '川沿七条', '川沿八条', '川沿九条', '川沿十条', '川沿十一条', '川沿十二条', '川沿十三条', '川沿十三条', '川沿十四条', '川沿十四条', '川沿十五条', '川沿十六条', '川沿十七条', '川沿十八条', '北ノ沢', '芸術の森', '小金湯', '定山渓', '定山渓温泉西', '定山渓温泉東', '白川', '澄川', '澄川一条', '澄川二条', '澄川三条', '澄川四条', '澄川五条', '澄川六条', '滝野', '砥石山', '常盤', '常盤', '常盤一条', '常盤二条', '常盤三条', '常盤四条', '常盤五条', '常盤六条', '砥山', '豊滝', '中ノ沢', '藤野', '藤野', '藤野一条', '藤野二条', '藤野三条', '藤野四条', '藤野五条', '藤野五条', '藤野六条', '真駒内', '真駒内', '真駒内', '真駒内', '真駒内曙町', '真駒内泉町', '真駒内柏丘', '真駒内上町', '真駒内公園', '真駒内幸町', '真駒内幸町', '真駒内東町', '真駒内本町', '真駒内本町', '真駒内緑町', '真駒内南町', '簾舞', '簾舞一条', '簾舞二条', '簾舞三条', '簾舞四条', '簾舞五条', '簾舞六条', '南三十条西', '南三十一条西', '南三十二条西', '南三十三条西', '南三十四条西', '南三十五条西', '南三十六条西', '南三十七条西', '南三十八条西', '南三十九条西', '南沢', '南沢一条', '南沢二条', '南沢三条', '南沢四条', '南沢五条', '南沢五条', '南沢五条', '南沢六条', '藻岩下', '藻岩山']"
札幌市西区,"['', '', '琴似一条', '琴似二条', '琴似二条', '琴似三条', '琴似三条', '琴似三条', '琴似四条', '小別沢', '西野', '西野一条', '西野二条', '西野三条', '西野四条', '西野五条', '西野六条', '西野七条', '西野八条', '西野九条', '西野十条', '西野十一条', '西野十二条', '西野十三条', '西野十四条', '西町北', '西町北', '西町南', '西町南', '西町南', '二十四軒一条', '二十四軒一条', '二十四軒二条', '二十四軒二条', '二十四軒二条', '二十四軒二条', '二十四軒三条', '二十四軒四条', '二十四軒四条', '二十四軒四条', '八軒一条西', '八軒一条東', '八軒二条西', '八軒二条東', '八軒三条西', '八軒三条東', '八軒四条西', '八軒四条東', '八軒五条西', '八軒五条西', '八軒五条東', '八軒六条西', '八軒六条東', '八軒七条西', '八軒七条東', '八軒八条西', '八軒八条東', '八軒九条西', '八軒九条東', '八軒十条西', '八軒十条東', '発寒一条', '発寒二条', '発寒三条', '発寒四条', '発寒五条', '発寒六条', '発寒七条', '発寒八条', '発寒八条', '発寒九条', '発寒九条', '発寒十条', '発寒十条', '発寒十一条', '発寒十一条', '発寒十二条', '発寒十二条', '発寒十三条', '発寒十四条', '発寒十五条', '発寒十六条', '発寒十七条', '福井', '平和', '平和一条', '平和二条', '平和三条', '宮の沢', '宮の沢一条', '宮の沢二条', '宮の沢三条', '宮の沢四条', '山の手', '山の手一条', '山の手二条', '山の手三条', '山の手四条', '山の手五条', '山の手六条', '山の手七条']"
札幌市厚別区,"['', '', '', '青葉町', '厚別北一条', '厚別北二条', '厚別北三条', '厚別北四条', '厚別北五条', '厚別北六条', '厚別中央一条', '厚別中央一条', '厚別中央一条', '厚別中央一条', '厚別中央一条', '厚別中央二条', '厚別中央二条', '厚別中央二条', '厚別中央二条', '厚別中央二条', '厚別中央三条', '厚別中央三条', '厚別中央四条', '厚別中央五条', '厚別町上野幌', '厚別町小野幌', '厚別町下野幌', '厚別町山本', '厚別西', '厚別西一条', '厚別西二条', '厚別西三条', '厚別西四条', '厚別西五条', '厚別東一条', '厚別東二条', '厚別東三条', '厚別東四条', '厚別東四条', '厚別東五条', '厚別東五条', '厚別南', '大谷地西', '大谷地西', '大谷地西', '大谷地西', '大谷地東', '大谷地東', '大谷地東', '大谷地東', '大谷地東', '上野幌一条', '上野幌一条', '上野幌一条', '上野幌二条', '上野幌三条', '下野幌テクノパーク', '下野幌テクノパーク', 'もみじ台北', 'もみじ台西', 'もみじ台東', 'もみじ台南']"
札幌市手稲区,"['', '曙一条', '曙二条', '曙三条', '曙四条', '曙五条', '曙六条', '曙七条', '曙八条', '曙九条', '曙十条', '曙十一条', '曙十二条', '明日風', '稲穂一条', '稲穂二条', '稲穂三条', '稲穂四条', '稲穂五条', '金山一条', '金山二条', '金山三条', '新発寒一条', '新発寒二条', '新発寒三条', '新発寒四条', '新発寒五条', '新発寒六条', '新発寒七条', '手稲稲穂', '手稲金山', '手稲富丘', '手稲星置', '手稲本町', '手稲本町一条', '手稲本町二条', '手稲本町三条', '手稲本町四条', '手稲本町五条', '手稲本町六条', '手稲前田', '手稲山口', '富丘一条', '富丘二条', '富丘三条', '富丘四条', '富丘五条', '富丘六条', '西宮の沢', '西宮の沢一条', '西宮の沢二条', '西宮の沢三条', '西宮の沢四条', '西宮の沢五条', '西宮の沢六条', '星置一条', '星置二条', '星置三条', '星置南', '星置南', '前田一条', '前田一条', '前田一条', '前田二条', '前田三条', '前田四条', '前田五条', '前田六条', '前田七条', '前田七条', '前田八条', '前田九条', '前田十条', '前田十一条', '前田十二条', '前田十三条']"
札幌市清田区,"['', '有明', '美しが丘一条', '美しが丘二条', '美しが丘三条', '美しが丘四条', '美しが丘五条', '北野一条', '北野二条', '北野三条', '北野三条', '北野四条', '北野五条', '北野六条', '北野六条', '北野七条', '清田', '清田一条', '清田一条', '清田二条', '清田三条', '清田四条', '清田四条', '清田四条', '清田五条', '清田六条', '清田七条', '清田八条', '清田九条', '清田十条', '里塚', '里塚一条', '里塚二条', '里塚三条', '里塚四条', '里塚緑ケ丘', '真栄', '真栄一条', '真栄二条', '真栄三条', '真栄四条', '真栄五条', '真栄六条', '平岡', '平岡一条', '平岡一条', '平岡二条', '平岡二条', '平岡三条', '平岡四条', '平岡五条', '平岡六条', '平岡七条', '平岡八条', '平岡九条', '平岡十条', '平岡公園', '平岡公園東']"
